Group,Race,Label,Value
0 - 21,White,Pop,87485
0 - 21,Black,Pop,32430
0 - 21,Hispanic,Pop,39415
0 - 21,Other,Pop,14783
0 - 21,Total,Pop,174113
0 - 5,White,Pop,19543
0 - 5,Black,Pop,7758
0 - 5,Hispanic,Pop,11045
0 - 5,Other,Pop,4808
0 - 5,Total,Pop,43154
9-Jun,White,Pop,15453
9-Jun,Black,Pop,5514
9-Jun,Hispanic,Pop,6844
9-Jun,Other,Pop,2942
9-Jun,Total,Pop,30753
15-Oct,White,Pop,26687
15-Oct,Black,Pop,9166
15-Oct,Hispanic,Pop,10522
15-Oct,Other,Pop,3827
15-Oct,Total,Pop,50202
16 - 19,White,Pop,17888
16 - 19,Black,Pop,6825
16 - 19,Hispanic,Pop,7438
16 - 19,Other,Pop,2206
16 - 19,Total,Pop,34357
20 - 21,White,Pop,7914
20 - 21,Black,Pop,3167
20 - 21,Hispanic,Pop,3566
20 - 21,Other,Pop,1000
20 - 21,Total,Pop,15647
0 - 21,White,Tx,6211
0 - 21,Black,Tx,2303
0 - 21,Hispanic,Tx,2798
0 - 21,Other,Tx,1050
0 - 21,Total,Tx,12362
0 - 5,White,Tx,1388
0 - 5,Black,Tx,551
0 - 5,Hispanic,Tx,784
0 - 5,Other,Tx,341
0 - 5,Total,Tx,3064
9-Jun,White,Tx,1097
9-Jun,Black,Tx,391
9-Jun,Hispanic,Tx,486
9-Jun,Other,Tx,209
9-Jun,Total,Tx,2183
15-Oct,White,Tx,1895
15-Oct,Black,Tx,651
15-Oct,Hispanic,Tx,747
15-Oct,Other,Tx,272
15-Oct,Total,Tx,3564
16 - 19,White,Tx,1270
16 - 19,Black,Tx,485
16 - 19,Hispanic,Tx,528
16 - 19,Other,Tx,157
16 - 19,Total,Tx,2439
20 - 21,White,Tx,562
20 - 21,Black,Tx,225
20 - 21,Hispanic,Tx,253
20 - 21,Other,Tx,71
20 - 21,Total,Tx,1111
0 - 21,White,Life,17497
0 - 21,Black,Life,6486
0 - 21,Hispanic,Life,7883
0 - 21,Other,Life,2957
0 - 21,Total,Life,34823
0 - 5,White,Life,3909
0 - 5,Black,Life,1552
0 - 5,Hispanic,Life,2209
0 - 5,Other,Life,962
0 - 5,Total,Life,8631
9-Jun,White,Life,3091
9-Jun,Black,Life,1103
9-Jun,Hispanic,Life,1369
9-Jun,Other,Life,588
9-Jun,Total,Life,6151
15-Oct,White,Life,5337
15-Oct,Black,Life,1833
15-Oct,Hispanic,Life,2104
15-Oct,Other,Life,765
15-Oct,Total,Life,10040
16 - 19,White,Life,3578
16 - 19,Black,Life,1365
16 - 19,Hispanic,Life,1488
16 - 19,Other,Life,441
16 - 19,Total,Life,6871
20 - 21,White,Life,1583
20 - 21,Black,Life,633
20 - 21,Hispanic,Life,713
20 - 21,Other,Life,200
20 - 21,Total,Life,3129
